segment_dim,segment_value,n_listings,rating_nonnull_n,review_coverage,review_coverage_pct,ltm_active_rate,ltm_active_rate_pct,avg_rating,avg_rating_gap,low_score_rate,low_score_rate_pct,low_score_rate_lift,superhost_rate,superhost_rate_pct,city_avg_rating,city_low_score_rate,is_eligible,is_underperforming,flag_reason
stay_category,飯店類,357.0,267.0,0.7478991596638656,74.79,0.4005602240896359,40.06,4.61,-0.133,0.24719101123595505,24.72,2.211,0.27450980392156865,27.45,4.743046574287915,0.11181678214010778,True,True,低均分且高低分率
district,南港區,76.0,54.0,0.7105263157894737,71.05,0.5657894736842105,56.58,4.68,-0.063,0.2222222222222222,22.22,1.987,0.3157894736842105,31.58,4.743046574287915,0.11181678214010778,True,True,低均分且高低分率
price_band,<=1500,1377.0,1003.0,0.7283950617283951,72.84,0.5860566448801743,58.61,4.654,-0.089,0.18843469591226322,18.84,1.685,0.3384168482207698,33.84,4.743046574287915,0.11181678214010778,True,True,低均分且高低分率
price_band,Unknown,482.0,313.0,0.6493775933609959,64.94,0.2987551867219917,29.88,4.696,-0.047,0.1757188498402556,17.57,1.571,0.37136929460580914,37.14,4.743046574287915,0.11181678214010778,True,True,高低分率
district,士林區,201.0,160.0,0.7960199004975125,79.6,0.582089552238806,58.21,4.734,-0.009,0.14375,14.37,1.286,0.32338308457711445,32.34,4.743046574287915,0.11181678214010778,True,False,
district,中山區,770.0,566.0,0.7350649350649351,73.51,0.6,60.0,4.72,-0.023,0.1431095406360424,14.31,1.28,0.5038961038961038,50.39,4.743046574287915,0.11181678214010778,True,False,
district,北投區,64.0,51.0,0.796875,79.69,0.578125,57.81,4.767,0.024,0.13725490196078433,13.73,1.227,0.390625,39.06,4.743046574287915,0.11181678214010778,True,False,
district,中正區,974.0,765.0,0.7854209445585215,78.54,0.6375770020533881,63.76,4.725,-0.018,0.13202614379084968,13.2,1.181,0.42915811088295686,42.92,4.743046574287915,0.11181678214010778,True,False,
stay_category,合宿類,192.0,135.0,0.703125,70.31,0.578125,57.81,4.718,-0.025,0.1259259259259259,12.59,1.126,0.21875,21.88,4.743046574287915,0.11181678214010778,True,False,
price_band,1501-2500,1611.0,1362.0,0.845437616387337,84.54,0.7610180012414649,76.1,4.729,-0.014,0.12555066079295155,12.56,1.123,0.4649286157666046,46.49,4.743046574287915,0.11181678214010778,True,False,
district,內湖區,63.0,44.0,0.6984126984126984,69.84,0.42857142857142855,42.86,4.724,-0.019,0.11363636363636363,11.36,1.016,0.2698412698412698,26.98,4.743046574287915,0.11181678214010778,True,False,
district,萬華區,1623.0,1458.0,0.8983364140480592,89.83,0.8496611213801601,84.97,4.728,-0.015,0.10905349794238683,10.91,0.975,0.4984596426370918,49.85,4.743046574287915,0.11181678214010778,True,False,
stay_category,住宅類,5657.0,4645.0,0.8211065936008485,82.11,0.7203464733957928,72.03,4.751,0.008,0.10419806243272337,10.42,0.932,0.5048612338695422,50.49,4.743046574287915,0.11181678214010778,True,False,
district,信義區,708.0,582.0,0.8220338983050848,82.2,0.6949152542372882,69.49,4.767,0.024,0.09965635738831616,9.97,0.891,0.5268361581920904,52.68,4.743046574287915,0.11181678214010778,True,False,
district,文山區,89.0,62.0,0.6966292134831461,69.66,0.47191011235955055,47.19,4.757,0.014,0.0967741935483871,9.68,0.865,0.2808988764044944,28.09,4.743046574287915,0.11181678214010778,True,False,
district,大安區,1177.0,906.0,0.7697536108751062,76.98,0.6652506372132541,66.53,4.76,0.017,0.09602649006622517,9.6,0.859,0.5276125743415463,52.76,4.743046574287915,0.11181678214010778,True,False,
stay_category,民宿類,213.0,149.0,0.6995305164319249,69.95,0.5821596244131455,58.22,4.767,0.024,0.09395973154362416,9.4,0.84,0.460093896713615,46.01,4.743046574287915,0.11181678214010778,True,False,
district,大同區,401.0,321.0,0.800498753117207,80.05,0.6159600997506235,61.6,4.785,0.042,0.08722741433021806,8.72,0.78,0.41895261845386533,41.9,4.743046574287915,0.11181678214010778,True,False,
price_band,2501-4000,1466.0,1259.0,0.8587994542974079,85.88,0.7871759890859482,78.72,4.788,0.045,0.06910246227164417,6.91,0.618,0.572305593451569,57.23,4.743046574287915,0.11181678214010778,True,False,
price_band,>4000,1483.0,1259.0,0.8489548213081591,84.9,0.7565745111260958,75.66,4.797,0.054,0.06274821286735505,6.27,0.561,0.5805799055967633,58.06,4.743046574287915,0.11181678214010778,True,False,
district,松山區,273.0,227.0,0.8315018315018315,83.15,0.7435897435897436,74.36,4.788,0.045,0.06167400881057269,6.17,0.552,0.5897435897435898,58.97,4.743046574287915,0.11181678214010778,True,False,
